研究課題/領域番号,研究課題名,研究課題名 (英文),教員名,研究代表者,キーワード,研究分野,研究内容,研究内容 (英文)
25KJ2239,Beyond 5G/6Gにおける信頼性のための知的プラットフォームの実装と評価,,東 隼也,"東 隼也 福岡工業大学, 工学研究科, 特別研究員(DC1)",,,Beyond 5G/6Gの実現には「超安全・信頼性」と「自律性」を備えたAIモデルの構築が必須となる。そのため、AIの意思決定プロセスにおける透明性や信頼性の確保が重要課題である。そこで本研究では、ファジィ論理と遺伝的アルゴリズムを統合した説明可能なAIを用い、動的信頼評価手法を確立する。また、ネットワークスライシングを活用した通信環境でのシミュレーションとテストベッド実験で実用性を検証する。,
25K22302,単分散ナノシートの階層的自己組織化による人工筋原繊維・人工筋束の創製,,宮元 展義,"宮元 展義 福岡工業大学, 工学部, 准教授 (80391267)",単分散ナノシート / 積層型ナノファイバー / 人工筋肉,,本研究では、「単分散無機ナノシート(mNS)」を最小構造ユニットとし、これらを階層的に自己組織化する独自手法によって、刺激に応じて伸び縮みする動物の筋肉を構造単位で模倣した人工筋肉を作成し、その機能を実証することを目的とする。我々の最近の研究で（Sci. Adv. 2024)、溶媒に分散させたmNS間に弱い引力を作用させることで、筋原繊維の構造に類似したsub-μmスケールの「積層型ナノファイバー」や、それらが集合した数十μmスケールの「ファイバーバンドル」が得られることを明らかにしており、本研究ではこの手法を応用する。,
25K14659,車いすテニスやバドミントンを促進するマシンスポーツの提案と安全システムの評価,Proposal of machine sports to promote wheelchair tennis and badminton and evaluation of safety systems,松尾 慶太,"松尾 慶太 福岡工業大学, 情報工学部, 教授 (50780219)",車いすテニス / 車いすバドミントン / 競技の安全確保 / 障がい者スポーツ / 全方位移動車いす,,近年、車いすテニスやバドミントンは、障がい者スポーツとして世界で広く認知されており、しかし、車いすを素早く正確にコントロールするチェアワークが要求されるスポーツであり、高度な技術や強靭な体力が要求される。そこで車いすテニスとバドミントンを促進するため入門しやすい環境が必要である。ここでは、電動で全方位に移動できる電動車いすを利用したマシンを提案する。さらに、競技中の安全を確保する手法を追究し安心できる環境を提供する。本研究を通してこれらの課題を解決していくことで国民に対し生涯スポーツの機会を提供し、健康で生き生きと生活できる社会をめざす。,
25K08245,微気象予測と地理的要因により高精細・高信頼を実現する早期豪雨災害警報システム,Early Warning System for Heavy Rainfall Disasters Achieving High Resolution and Reliability through Microclimate Prediction and Geographical Factors,内田 法彦,"内田 法彦 福岡工業大学, 情報工学部, 教授 (10610298)",早期豪雨災害警報システム / 災害情報通信 / IoT / 異常検知 / 無線ネットワーク,,近年、線状降水帯等の豪雨災害により、死傷者のみならず、農畜産物にも大きな被害が発生し、数m単位といった高詳細かつリアルタイムな微気象予測技術が注目されている。しかし、実際の豪雨災害を考慮した際、劇的に変動する河川状態、局所的な地下水噴出や貯水池、建物や斜面状況といった、各地域特有の地理的要因も考慮する必要がある。そこで、本研究では、クラウド機能を使った微気象予測に加え、多数かつ多様なIoTセンサー同時無線接続を可能にさせ、これら大気・地理的観測値を複合的に、逐次時空間モデルでの異常検知検出を可能とすることで、より高精細かつ高信頼な早期豪雨災害警報システムについて研究開発を行っていく。,
25K07871,低光量・高速撮像を目指した溝状シリコンフォトダイオードの開発,Development of silicon trench photodiodes for low-light-intensity and high-speed imaging,有吉 哲也,"有吉 哲也 福岡工業大学, 情報工学部, 准教授 (60432738)",光センサー / X線・赤外線センサー / 半導体 / シリコン / フォトダイオード,,光センサーは画像診断や各種分析において重要な役割を担い、高速応答と高受光感度が求められる。「光」はX線や赤外線も含まれる。安価で無害なシリコン材料をX線・赤外線センサーとして利用するが、PN接合フォトダイオードをトレンチ（溝）状に形成して光有感領域を拡大することでX線・赤外線の受光感度を改善し、高速応答も両立する。本研究ではこの提案フォトダイオード自体の幅などを縮小して寄生容量を抑え、次世代のX線撮像の光子計数型X線CTとして安定的動作な5億カウント/(mm^2・s)のX線光子計数率を目標とする。更にこの提案フォトダイオードをアレイ化し、赤外線イメージセンサーへの応用展開も探る。,
25K07689,手指の背屈に伴う弾性特性を利用する物体操作の動作原理の解明と機械化,Manipulation mechanism by the elasticity of human fingers occurring during dorsiflexion and its applications,槇田 諭,"槇田 諭 福岡工業大学, 工学部, 准教授 (60580868)",筋腱複合体 / 手関節背屈 / 弾性特性 / 物体操作 / バレーボール,,上肢義肢をロボットハンドとして見るとき，スポーツ競技における用具の把持およびあやつり，ボール等との衝突とボールの操作，を柔軟に実現できるハンドは，産業用途を含めてみても開発途上にある．これは手指の背屈運動を伴うため，一般的な手指の屈曲に基づく物体操作では扱われていない対象である．本研究課題では「手指の屈曲動作だけでなく，背屈動作によって発現する弾性特性を陽に利用する物体操作」を実現できるロボットハンドを目指す．この機械化の課題に対して以下の探求に取り組む．(1) 競技中の動作における手指運動とボールとの相互作用を明らかにすること(2) その相互作用を実現する身体メカニズムを明らかにすること．,
25K07576,水中溶存空気の気泡内への析出を考慮した高速水流中のキャビテーション解析と実験,,江頭 竜,"江頭 竜 福岡工業大学, 工学部, 教授 (60455102)",キャビテーション / 気泡 / 溶存空気,,本研究は，高速水流中で発生するキャビテーションを対象として，その発生初期における単一気泡に着目して気泡成長に及ぼす気泡内水蒸気・空気-周囲水間での水中溶存空気の気泡内への析出の影響を理論と実験により解明することを目的とする．理論では，気泡の成長に伴う空気の析出，水の蒸発，熱伝導等及び水流中での気泡の並進運動を考慮して気泡核成長を解析し，ベンチュリ管内でのキャビテーションの発生初期過程の実験により理論解析結果を検証する．本研究では非平衡蒸発に加え，さらに水中溶存空気の気泡内への析出を考慮し，実験で検証する．以上の研究により，高速水流中でのキャビテーションの発生初期過程の正確な解析が可能となる．,
25K07212,非従来型超伝導体へのスピン注入,Spin injection into unconventional superconductors,中村 壮智,"中村 壮智 福岡工業大学, 工学部, 准教授 (50636503)",超伝導接合 / スピントロニクス / 非従来型超伝導,,高温超伝導や近接効果超伝導などは超伝導の形成が機構が従来の超伝導とは異なるため，これらの存在下でのスピン緩和も通常とは異なるものとなる．そのためこれらについて調べることは超伝導体中のスピン輸送メカニズムを明らかにする糸口となる．本研究では，これらの非従来型超伝導体を用いたスピンバルブ素子を作製しその輸送特性を調べることで，超伝導体中でのスピン緩和機構を明らかにするとともに，窒素温度で実現可能な高温超伝導デバイスや，量子計算の実現が期待されているトポロジカル超伝導デバイスにおける，スピントロニクスとの融合可能性を計ることを目指す．,
25K07127,不完全周期構造を用いた電磁波散乱・伝搬制御を対象とした数値解析理論の開発,,渡辺 仰基,"渡辺 仰基 福岡工業大学, 情報工学部, 教授 (20294902)",不完全周期構造 / 電磁波散乱 / 数値解析理論,,周期構造を使って電磁波の伝搬や散乱を制御するとき、局所的に周期性が崩れている構造がしばしば用いられる。これらの不完全周期構造中の電磁界の数値解析には、従来の周期構造解析法をそのままは使うことが難く、汎用的な電磁界解析法が用いられることが多い。汎用的な電磁界解析法は、比較的簡単な構造であっても計算コストが膨大になることが多く、不完全周期構造を利用した技術開発のボトルネックとなっている。本研究では、従来からある周期構造解析法に擬周期Fourier変換の考え方を導入することによって、局所的に周期性が崩れている不完全周期構造中の電磁界を、スペクトル領域で効率的に解析する計算手法の開発を試みる。,
25K07037,滑らかな関数の局所表示と調和解析におけるその応用,,野瀬 敏洋,"野瀬 敏洋 福岡工業大学, 工学部, 准教授 (90637993)",無限階微分可能関数 / ニュートン多面体 / トーリック・ブローアップ / 振動積分 / 局所ゼータ関数,,"関数が実解析的である場合には, 特異点解消により, その関数を局所的に単項式で表すことができる. なおかつある種の非退化の条件の下では, 関数の複雑な退化の情報がその局所表示の中に現れるように特異点解消を構成できる. 本研究では, 実解析性を仮定しない(無限階微分可能な)滑らかな関数に関する同様の局所表示について研究を行う. また, その局所表示を用いて調和解析における種々の問題において滑らかな関数の場合に関する解析を行う.",
